Subject	Block	Begin	End	Length	Total
016	fix30s	428	521	93	
016	fix30s	588	681	92	
016	fix30s	778	871	92	
016	fix30s	937	1031	93	5
006	eig30s	2195	2277	81	
006	eig30s	2340	2421	81	
006	eig30s	2494	2576	82	
006	eig30s	2611	2693	82	
006	eig30s	2805	2887	82	
006	eig30s	2960	3042	82	6
035	fix2m	2566	2741	174	
035	fix2m	2817	2991	173	
035	fix2m	3174	3348	173	
035	fix2m	3414	3587	173	
035	fix2m	3651	3825	173	5
