Subject	Block	Begin	End	Length	Total
009	fix2m	2061	2225	163	5
018	fix5m	1497	1841	344	
018	fix5m	2057	2401	343	
018	fix5m	2831	3175	343	
018	fix5m	3360	3703	343	
018	fix5m	4327	4671	343	5
046	fix5m	1815	2162	347	
046	fix5m	2308	2651	342	
046	fix5m	2877	3221	343	
046	fix5m	3333	3676	342	
046	fix5m	3766	4111	344	5
046	eig5m	1188	1534	346	
046	eig5m	1630	1977	347	
046	eig5m	2053	2401	347	
046	eig5m	2473	2821	348	
046	eig5m	3343	3691	348	5
016	fix30s	287	371	84	
016	fix30s	428	511	83	
016	fix30s	588	671	82	
016	fix30s	778	861	82	
016	fix30s	937	1021	83	5
006	eig30s	2195	2267	71	
006	eig30s	2340	2411	71	
006	eig30s	2494	2566	72	
006	eig30s	2611	2683	72	
006	eig30s	2805	2877	72	
006	eig30s	2960	3032	72	6
035	fix2m	2566	2731	164	
035	fix2m	2817	2981	163	
035	fix2m	3174	3338	163	
035	fix2m	3414	3577	163	
035	fix2m	3651	3815	163	5
